3-6-2018 8:57:49,421422,8,Contaminant,4,Tactical my grandparents were in the army and I used a gun before,Hacker hacking is a hobby to me,If it's like a hobby,"Teamwork,brave,helping",My job,True
3-6-2018 8:58:46,421422,8,Contaminant,4,Tactical,Hacker,If it's like a hobby,"Teamwork,brave,helping",My job,True
3-6-2018 8:58:51,1505105,8,Contaminant,3,Engineer,Because I like it,Computer skills,"Confident, determined, fearless",Being engineer,False
3-6-2018 9:00:27,421484,8,Contaminant,4,Pilot,I like flying and controlling things and my uncle was in the air force ,"Concentration , precision, calmness","Friendly , outgoing, helpful",Flying the “fish”,False
3-6-2018 9:01:35,701073,8,Contaminant,4,Doctor,"I love puzzles and fixing things. I’ve had this job before, and I highly choose this job first",Staying focused,"Comunication, Knowledge, and Agility.",I love doing the job i’m assigned,True
3-6-2018 9:01:38,421485,8,Contaminant,4,Hacker,Because I like solving puzzles and I think I will be good at it ,To be able to figure things out and think fast,"Being able to work with others, to communicate well, and to be kind",To be able to experience it again,False
3-6-2018 9:02:02,421458,8,Contaminant,4,engineer ,I applied because i am familiar with the engineer position and i know where the controls are at.,"a good memory, tech skills, and fast fingers.","leadership, knowledge, communication ",Doing your job and having fun with it,False
3-6-2018 9:02:34,1502917,8,Contaminant,4,Security cheif,I like to give orders and keeping others safe,Determined and hardworking ,"1) thoughtful 
2) compassionate 
3) determined ",learning new things,False
3-6-2018 9:02:58,421398,8,Contaminant,4,Engineer,I applied for this job because I enjoy working with technology and solving problems that are given to me. I am experienced with this field.,"Patience, Problem-Solving Skills, Ability to listen to what team suggests","Loyalty, Hardworking, Understanding, ",I am excited about being able to work with my classmates as a team and help find a solution to the problem that we received.,False
3-6-2018 9:03:00,421379,8,Contaminant,4,Engineer ,I did good last year and I am good with technology ,They need some sort of idea what they are working with and how to do it ,"Can lead with violence, is determined ready to get the job done, and can work with others ",Furthering my knowledge of pollution ,True
3-6-2018 9:03:32,421455,8,Contaminant,4,Engineer,I chose engineer because being an engineer interests me,I think people should know a little about engineering ,"Confidence, strength, compassion ",Being an engineer ,False
3-6-2018 9:03:33,934119,8,Contaminant,5,Engineer,Because am like to fix and build all sorts of things.," To have Motivation,handle stress easily, and  be a fast thinker.",I am supportive of others and i have the motivation to drive us to success.,To save the city and the inhabitants.,False
3-6-2018 9:03:37,1502917,8,Contaminant,4,Security cheif,I like to give orders and keeping others safe,Determined and hardworking ,"1) thoughtful 
2) compassionate 
3) determined",learning new things,False
3-6-2018 9:04:19,421469,8,Contaminant,4,Communications,It is different to prior jobs I have had and I believe I will succeed in that position ,They should have the ability to take criticism and suggestions as well as being a good speaker so they can tell the team about problems. ,"The ability to take suggestions, helpful, and understanding. ",I am most excited to solve the problem going on in the city and find the cause. ,False
3-6-2018 9:04:25,701062,8,Contaminant,4,Engineer,I have experience in it,They need to be smart and a fast thinker,Smart Teamworker persevering,I am excited to be in the simulator,True
3-6-2018 9:04:31,1502299,8,Contaminant,3,Engineer,Never had it nor tried it out,They need to try harder in order to be successful,"Need to be nice, have communication, cooperative",The end of the mission,False
